ground_id,ground,country,continent,latitude,longitude
1173,"Kadirana Cricket Grounds, Gampaha",Sri Lanka,Asia,,
227,"Ramblers Cricket Club Ground, Bloemfontein",South Africa,Africa,,
953,Arundel Castle Cricket Club Ground,England,Europe,,
1768,"Het Loopveld, Amstelveen",Netherlands,Europe,,
1391,"St Peter's College, Adelaide",Australia,Oceania,-34.913643,138.616974
301,"Bagh-e-Jinnah, Lahore",Pakistan,Asia,31.552029,74.332642
2991,Jaffna Central College Grounds,Sri Lanka,Asia,0.000000,0.000000
982,"Roy Henzell Oval, Caloundra",Australia,Oceania,,
239,"May's Bounty, Basingstoke",England,Europe,,
639,"Iqbal Stadium, Faisalabad",Pakistan,Asia,31.433767,73.085838
422,"Courtaulds Ground, Coventry",England,Europe,,
638,"Queen Elizabeth Park, Masterton",New Zealand,Oceania,-40.949940,175.666443
1551,"Malton Cricket Club, Toronto",Canada,Americas,,
107,Clifton College Close Ground,England,Europe,0.000000,0.000000
680,"Arnos Vale Ground, Kingstown, St Vincent",West Indies,Americas,13.142126,-61.212120
434,"Commerce College Ground, Ahmedabad",India,Asia,,
1188,"Boughton Hall Cricket Club Ground, Chester",England,Europe,,
64,"Broughton Cricket Club Ground, Salford",England,Europe,,
901,"Harmony Gold Mine Cricket Club A Ground, Virginia",South Africa,Africa,0.000000,0.000000
2835,"Hurlingham Club Cricket Ground, Fulham",England,Europe,0.000000,0.000000
1905,"Fort Maidan, Palakkad",India,Asia,,
1817,Sully Centurions Cricket Club,England,Europe,,
1194,"Digswell Park, Welwyn Garden City",England,Europe,,
984,"Eastwood Gardens, Gateshead Fell",England,Europe,,
23,"Magdalen Ground, Oxford",England,Europe,,
1640,"Chisholm Oval, Canberra",Australia,Oceania,,
415,"Minto Park, Lahore",India,Asia,,
248,"South Melbourne Cricket Ground, Melbourne",Australia,Oceania,,
372,"Chalkwell Park, Westcliff-on-Sea",England,Europe,,
2706,"North West Tasmania Cricket Association Ground, Burnie",Australia,Oceania,0.000000,0.000000
751,"Gandhi Sports Complex Ground, Amritsar",India,Asia,31.638927,74.872948
163,"County Ground, Leyton",England,Europe,,
1490,"Trent College Ground, Long Eaton",England,Europe,,
1529,Mutare Sports Club,Zimbabwe,Africa,-18.918842,29.811548
2065,"Albury Oval, Brisbane",Australia,Oceania,,
2210,"Willowmoore Park A Field, Benoni",South Africa,Africa,0.000000,0.000000
1413,"Rosalie Park, Perth",Australia,Oceania,,
515,"Moti Bagh Stadium, Vadodara",India,Asia,22.289972,73.190086
2975,"St Paul's Collegiate Ground, Hamilton",New Zealand,Oceania,-37.760323,175.281982
1014,"Port Trust Diamond Jubilee Stadium, Visakhapatnam",India,Asia,0.000000,0.000000
1220,"Wilton Park, Beaconsfield",England,Europe,,
2607,"7he Sevens Stadium Pitch 2, Dubai",United Arab Emirates,Asia,0.000000,0.000000
1144,"Netherfield Cricket Club Ground, Kendal",England,Europe,0.000000,0.000000
1084,"Brelsford Park, Coffs Harbour",Australia,Oceania,-30.300957,153.118134
145,"Sheffield Park, Uckfield",England,Europe,0.000000,0.000000
1988,"Svanholm Park, Brondby",Denmark,Europe,,
968,"Baroda Rayon Corporation Ground, Surat",India,Asia,,
1844,"Khan Shaheb Osman Ali Stadium, Fatullah",Bangladesh,Asia,23.627781,90.493126
2272,Barmera Oval,Australia,Oceania,-34.249393,140.462357
1060,"Quaid-e-Azam Stadium, Sahiwal",Pakistan,Asia,,
1211,"Sir Paul Getty's Ground, Wormsley",England,Europe,0.000000,0.000000
1192,"Horntye Park, Hastings",England,Europe,,
2361,"Dr DY Patil Sports Academy, Mumbai",India,Asia,19.042145,73.026726
1012,"Lalabhai Contractor Stadium, Surat",India,Asia,,
436,"Irwin Stadium, Delhi",India,Asia,,
847,Galle International Stadium,Sri Lanka,Asia,6.031731,80.215736
1475,"Amy Lane, Chesham",England,Europe,,
2096,"Khan Road Oval, Pietermaritzburg",South Africa,Africa,,
2867,"Bay Oval No2, Mount Maunganui",New Zealand,Oceania,0.000000,0.000000
2072,"Kinrara Academy Oval, Kuala Lumpur",Malaysia,Asia,,
923,"Gujarat State Fertilizer Corporation Ground, Vadodara",India,Asia,,
2546,"New Williamfield No1 Oval, Stirling",Scotland,Europe,0.000000,0.000000
2579,"District Institute of Education and Training Ground, Porvorim",India,Asia,0.000000,0.000000
237,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Scotland,Europe,,
50,"Day's (Itchen) Ground, Southampton",England,Europe,,
25,Midhurst,England,Europe,,
1883,"Moseley Cricket Club, Solihull",England,Europe,0.000000,0.000000
744,"RJE Burt Oval, Cape Town",South Africa,Africa,,
469,"Michelin Ground, Stoke-on-Trent",England,Europe,,
14,"Parker's Piece, Cambridge",England,Europe,,
2402,"Sardar Patel Stadium B Ground, Motera, Ahmedabad",India,Asia,23.092789,72.599380
124,"Private Banks Sports Ground, Catford Bridge",England,Europe,,
1545,"Maple Leaf North-West Ground, King City",Canada,Americas,,
824,"Nahar Singh Stadium, Faridabad",India,Asia,28.387247,77.295631
1446,"Western Springs Stadium, Auckland",New Zealand,Oceania,-36.865997,174.727295
1187,"Salisbury and South Wiltshire Sports Club, Salisbury",England,Europe,,
1563,"Cricket Garden, Rangpur",Bangladesh,Asia,,
858,"Metallurgical and Engineering Consultant Limited Sail Stadium, Ranchi",India,Asia,,
2667,"Bangladesh Krira Shikkha Protisthan No 3 Ground, Savar",Bangladesh,Asia,23.989716,90.247787
483,"Bohranwala Ground, Faisalabad",Pakistan,Asia,0.000000,0.000000
2159,"Wagon Lane, Bingley",England,Europe,,
1200,"Abbey Lawn, Bourne",England,Europe,,
2393,Durbanville Cricket Club,South Africa,Africa,,
2510,"Freebody Oval, Queanbeyan",Australia,Oceania,,
1836,"Australian National University North Oval, Canberra",Australia,Oceania,,
1930,Khulna Divisional Stadium,Bangladesh,Asia,22.844736,89.537048
1860,"Manzil Park, Klerksdorp",South Africa,Africa,,
1896,"Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium, Visakhapatnam",India,Asia,17.797489,83.351913
2344,"Phoenix Cricket Club Ground, Phoenix Park, Dublin",Ireland,Europe,,
1166,"WestpacTrust Stadium, Wellington",New Zealand,Oceania,-41.272957,174.785889
1140,"Indian Institute of Technology Chemplast Ground, Chennai",India,Asia,,
1386,"King George V Oval, Hobart",Australia,Oceania,-42.831089,147.277359
